City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Olafsvik,IS,64.8945,-23.7142,52.75,92,100,16.02,overcast clouds
140,Jumla,NP,29.2747,82.1838,63.46,98,100,1.9,overcast clouds
141,Saint-Philippe,RE,-21.3585,55.7679,66.22,74,27,10.13,scattered clouds
142,Lompoc,US,34.6391,-120.4579,93.02,64,0,16.11,clear sky
143,Vila Velha,BR,-20.3297,-40.2925,84.15,75,0,14.97,clear sky
144,Save,BJ,8.0425,2.486,78.04,64,100,4.25,overcast clouds
145,Caravelas,BR,-17.7125,-39.2481,74.97,77,32,8.79,scattered clouds
146,Abonnema,NG,4.7084,6.7931,76.5,77,85,8.84,overcast clouds
147,Guymon,US,36.6828,-101.4816,98.6,28,0,17.27,clear sky
148,Dikson,RU,73.5069,80.5464,43.75,100,100,12.39,moderate rain
149,Mount Gambier,AU,-37.8333,140.7667,40.91,100,40,2.3,fog
150,Mier,MX,26.4333,-99.15,103.06,20,28,16.55,scattered clouds
151,Itaueira,BR,-7.6033,-43.0256,89.06,35,74,6.42,broken clouds
152,Niquelandia,BR,-14.4739,-48.4597,88.0,24,35,6.55,scattered clouds
153,Zhigansk,RU,66.7697,123.3711,48.94,91,100,19.3,light rain
154,Port Lincoln,AU,-34.7333,135.8667,51.15,75,14,9.48,few clouds
155,Baykit,RU,61.67,96.37,48.78,86,100,3.44,overcast clouds
156,Cockburn Town,TC,21.4612,-71.1419,87.76,58,40,16.11,scattered clouds
157,Tromso,NO,69.6496,18.957,55.42,62,40,17.27,scattered clouds
158,Fairbanks,US,64.8378,-147.7164,55.36,94,100,4.61,mist
159,Porto Walter,BR,-8.2686,-72.7439,72.73,98,100,1.86,overcast clouds
160,Elizabeth City,US,36.2946,-76.2511,93.02,65,0,14.97,clear sky
161,Belousovka,KZ,50.1339,82.5239,52.65,87,0,0.0,clear sky
162,Carnarvon,AU,-24.8667,113.6333,60.26,57,0,14.18,clear sky
163,Diban,SY,35.0365,40.5167,101.37,16,0,8.08,clear sky
164,Seoul,KR,37.5683,126.9778,80.2,92,75,1.14,broken clouds
165,Kalianget,ID,-7.05,113.9333,76.84,76,51,3.33,broken clouds
166,Portland,US,45.5234,-122.6762,79.14,49,0,8.05,clear sky
167,Barrow,US,71.2906,-156.7887,44.62,92,100,13.73,overcast clouds
168,Mantenopolis,BR,-18.8625,-41.1228,80.44,36,1,0.87,clear sky
169,Kamenka,RU,51.3223,42.7678,69.78,57,2,8.86,clear sky
170,Antalaha,MG,-14.9003,50.2788,65.57,83,4,7.58,clear sky
171,Chany,RU,55.3121,76.7647,66.4,62,97,5.84,overcast clouds
172,Barra Do Garcas,BR,-15.89,-52.2567,95.58,17,0,0.0,clear sky
173,Praia,CV,14.9215,-23.5087,82.94,69,40,12.66,scattered clouds
174,Kruisfontein,ZA,-34.0033,24.7314,54.82,84,35,10.67,scattered clouds
175,Along,IN,28.1667,94.7667,74.73,98,72,1.19,broken clouds
176,Iracoubo,GF,5.4802,-53.2011,82.71,70,0,10.07,clear sky
177,Saskylakh,RU,71.9167,114.0833,50.04,87,6,3.15,clear sky
178,Kargasok,RU,59.0556,80.8572,61.07,66,94,4.54,overcast clouds
179,Taunggyi,MM,20.7833,97.0333,63.91,97,100,2.86,overcast clouds
180,Choma,ZM,-16.8065,26.9531,60.78,46,0,2.26,clear sky
181,Kodiak,US,57.79,-152.4072,58.51,82,100,4.61,overcast clouds
182,Yarada,IN,17.65,83.2667,79.12,89,75,2.3,thunderstorm
183,Bonthe,SL,7.5264,-12.505,77.04,82,65,9.53,broken clouds
184,Coquimbo,CL,-29.9533,-71.3436,58.73,72,0,11.5,clear sky
185,Pervomayskoye,RU,43.919,46.7102,76.48,71,100,1.05,overcast clouds
186,Shasta Lake,US,40.6804,-122.3708,89.96,21,100,1.99,overcast clouds
187,Vrangel,RU,42.7297,133.0839,71.6,97,100,5.84,overcast clouds
188,Torbay,CA,47.6666,-52.7314,84.97,48,20,14.97,few clouds
189,Nioro,GM,13.35,-15.75,75.58,92,100,6.67,overcast clouds
190,Hambantota,LK,6.1241,81.1185,78.37,81,100,16.93,overcast clouds
191,Aykhal,RU,66.0,111.5,49.15,82,100,20.09,overcast clouds
192,Agbor,NG,6.2518,6.1934,72.7,88,98,4.25,overcast clouds
193,Vanimo,PG,-2.6741,141.3028,75.7,88,100,3.04,overcast clouds
194,Faanui,PF,-16.4833,-151.75,78.26,75,96,25.17,light rain
195,Katsuura,JP,35.1333,140.3,71.85,82,100,7.76,overcast clouds
196,Hilo,US,19.7297,-155.09,87.28,76,100,9.22,overcast clouds
197,Visnes,NO,59.3556,5.2242,55.45,67,40,14.97,scattered clouds
198,Macae,BR,-22.3708,-41.7869,80.35,69,0,6.91,clear sky
199,Nantucket,US,41.2835,-70.0995,87.94,78,0,14.97,clear sky
200,Severo-Kurilsk,RU,50.6789,156.125,54.72,87,100,2.66,overcast clouds
201,Georgetown,MY,5.4112,100.3354,82.89,86,40,4.61,scattered clouds
202,Deputatskiy,RU,69.3,139.9,46.69,74,97,2.59,overcast clouds
203,Roald,NO,62.5833,6.1333,55.99,87,75,17.27,light rain
204,Mar Del Plata,AR,-38.0023,-57.5575,53.62,71,20,8.05,few clouds
205,Bafq,IR,31.6128,55.4107,89.2,17,0,8.79,clear sky
206,Nuuk,GL,64.1835,-51.7216,48.81,81,75,27.63,broken clouds
207,Lorengau,PG,-2.0226,147.2712,78.64,81,100,2.86,overcast clouds
208,Amurzet,RU,47.6967,131.0981,65.93,96,11,6.76,few clouds
209,Ahipara,NZ,-35.1667,173.1667,51.4,89,48,3.91,scattered clouds
210,Avarua,CK,-21.2078,-159.775,75.25,69,20,16.11,few clouds
211,Necochea,AR,-38.5473,-58.7368,48.38,63,16,9.95,few clouds
212,Pisco,PE,-13.7,-76.2167,64.45,72,20,9.22,few clouds
213,Bonavista,CA,48.6499,-53.1147,72.45,67,51,15.93,broken clouds
214,Forbes,AU,-33.3833,148.0167,41.34,76,12,6.93,few clouds
215,Tsabong,BW,-26.0217,22.401,61.2,26,59,6.78,broken clouds
216,Belyy Yar,RU,53.6039,91.3903,52.86,80,0,0.0,clear sky
217,Carbonia,IT,39.1672,8.5222,85.15,61,0,3.78,clear sky
218,Rognan,NO,67.0953,15.3878,55.76,64,20,6.8,few clouds
219,Beloha,MG,-25.1667,45.05,65.3,77,45,3.36,scattered clouds
220,Okha,RU,53.5739,142.9478,53.91,95,100,18.25,light rain
221,Merritt Island,US,28.5392,-80.672,93.09,65,75,11.5,broken clouds
222,Lata,PT,40.1629,-8.3327,66.81,85,0,3.31,clear sky
223,San Policarpo,PH,12.1791,125.5072,78.78,85,100,13.78,overcast clouds
224,Champerico,GT,14.3,-91.9167,90.14,72,98,10.33,overcast clouds
225,Mangrol,IN,21.1167,70.1167,79.95,86,100,5.95,overcast clouds
226,Namibe,AO,-15.1961,12.1522,61.75,89,28,7.23,scattered clouds
227,Kenai,US,60.5544,-151.2583,55.15,93,100,25.32,light rain
228,Senno,RU,59.5336,33.9167,66.33,69,3,5.21,clear sky
229,Puerto Madryn,AR,-42.7692,-65.0385,46.76,57,62,19.8,broken clouds
230,Sandnessjoen,NO,66.0217,12.6316,56.64,70,40,18.41,scattered clouds
231,Beringovskiy,RU,63.05,179.3167,51.58,67,9,7.85,clear sky
232,Nogliki,RU,51.8333,143.1667,54.19,96,77,12.48,broken clouds
233,Ville-Marie,CA,47.3335,-79.433,78.44,36,7,3.47,clear sky
234,Mamatid,PH,14.2342,121.1581,76.98,93,100,2.8,moderate rain
235,Erzin,TR,36.9559,36.2,77.29,83,0,0.72,clear sky
236,Abha,SA,18.2164,42.5053,62.42,100,20,0.0,few clouds
237,Moose Factory,CA,51.2585,-80.6094,77.0,44,75,11.5,broken clouds
238,Saveh,IR,35.0213,50.3566,89.65,21,0,6.78,clear sky
239,Peace River,CA,56.2501,-117.286,68.31,55,75,8.05,broken clouds
240,Alofi,NU,-19.0595,-169.9187,75.09,94,100,8.05,overcast clouds
241,Clyde River,CA,70.4692,-68.5914,50.23,71,20,14.97,few clouds
242,Magadan,RU,59.5667,150.8,56.53,96,100,7.92,overcast clouds
243,Labuhan,ID,-6.8844,112.2051,73.71,89,26,8.19,scattered clouds
244,Asau,RO,46.4333,26.4,70.72,76,2,3.29,clear sky
245,Nangong,CN,37.3581,115.3744,81.5,81,5,2.44,clear sky
246,Hofn,IS,64.2539,-15.2082,52.77,79,57,10.0,broken clouds
247,Clocolan,ZA,-28.9137,27.5656,48.25,50,7,2.35,clear sky
248,Ilo,PE,-17.6394,-71.3375,61.66,77,100,9.22,overcast clouds
249,Batemans Bay,AU,-35.7167,150.1833,52.11,68,17,6.76,few clouds
250,Yeppoon,AU,-23.1333,150.7333,65.98,93,1,3.2,clear sky
251,Trelew,AR,-43.249,-65.3051,45.68,56,99,17.81,overcast clouds
252,Nalut,LY,30.3333,10.85,88.88,26,0,11.39,clear sky
253,Zeya,RU,53.75,127.2667,63.91,97,100,9.73,moderate rain
254,Mattoon,US,39.4831,-88.3728,87.53,74,75,4.61,broken clouds
255,Mahibadhoo,MV,3.7833,72.9667,81.03,78,99,16.67,overcast clouds
256,Umtata,ZA,-31.5889,28.7844,58.3,43,0,3.67,clear sky
257,Makakilo City,US,21.3469,-158.0858,82.72,67,0,5.75,clear sky
258,Lerwick,GB,60.1545,-1.1494,51.8,78,96,17.74,overcast clouds
259,Homer,US,59.6425,-151.5483,53.47,98,100,11.01,moderate rain
260,Verkhnyaya Inta,RU,65.9811,60.3094,58.89,91,100,10.09,overcast clouds
261,Havelock,US,34.8791,-76.9013,92.05,77,90,3.0,overcast clouds
262,Sao Filipe,CV,14.8961,-24.4956,78.03,80,12,9.17,few clouds
263,San Andres,CO,12.5847,-81.7006,77.02,100,100,2.3,light rain
264,Palmer,US,42.1584,-72.3287,95.25,57,90,4.99,overcast clouds
265,Punta Gorda,US,26.9298,-82.0454,94.98,64,0,12.66,clear sky
266,Kavaratti,IN,10.5669,72.642,80.1,80,100,21.36,overcast clouds
267,Portree,GB,57.4129,-6.1942,54.52,81,100,7.74,overcast clouds
268,Kidal,ML,18.4411,1.4078,96.31,29,7,8.21,clear sky
269,Pangnirtung,CA,66.1451,-65.7125,41.0,93,100,5.75,light intensity drizzle
270,Uvalde,US,29.3669,-99.767,97.14,30,0,8.05,clear sky
271,Longyearbyen,SJ,78.2186,15.6401,48.04,93,75,2.3,broken clouds
272,Nemuro,JP,43.3236,145.575,58.84,78,100,7.54,overcast clouds
273,Leningradskiy,RU,69.3833,178.4167,33.08,93,100,12.84,overcast clouds
274,Marzuq,YE,14.4,46.4667,81.46,53,70,5.68,broken clouds
275,Novopokrovka,UA,49.8425,36.5477,68.9,73,100,7.74,overcast clouds
276,Karpogory,RU,64.0019,44.4451,65.68,79,26,5.37,scattered clouds
277,Port Alfred,ZA,-33.5906,26.891,57.18,93,38,10.78,scattered clouds
278,Kholodnyy,RU,62.7167,147.95,58.24,81,100,8.57,overcast clouds
279,Haines Junction,CA,60.7522,-137.5108,66.15,42,100,9.22,overcast clouds
280,Sisimiut,GL,66.9395,-53.6735,46.69,81,94,17.94,overcast clouds
281,Auki,SB,-8.7676,160.7034,76.78,88,82,4.34,broken clouds
282,Carutapera,BR,-1.195,-46.02,81.77,74,15,9.75,few clouds
283,Norsup,VU,-16.0667,167.3833,78.22,81,16,9.06,few clouds
284,Mandurah,AU,-32.55,115.7,51.91,79,92,3.91,overcast clouds
285,Richards Bay,ZA,-28.783,32.0377,63.9,92,0,4.34,clear sky
286,Ternate,ID,0.8,127.4,78.76,81,80,4.41,broken clouds
287,Pevek,RU,69.7008,170.3133,34.29,99,100,7.34,snow
288,Norman Wells,CA,65.282,-126.8329,75.24,50,20,11.5,few clouds
289,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,91,100,4.63,light rain
290,La Rioja,ES,42.25,-2.5,64.18,89,23,4.63,few clouds
291,Basco,PH,20.4487,121.9702,83.75,77,90,13.22,overcast clouds
292,Bosaso,SO,11.2842,49.1816,91.24,48,79,2.64,broken clouds
293,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,57,20,17.27,few clouds
294,Evensk,RU,61.95,159.2333,51.84,99,100,7.23,overcast clouds
295,Gamba,GA,-2.65,10.0,69.58,87,27,8.05,scattered clouds
296,Akdepe,TM,42.0551,59.3788,78.89,42,2,7.92,clear sky
297,Tiksi,RU,71.6872,128.8694,41.14,91,100,4.99,overcast clouds
298,Saint-Francois,FR,46.4154,3.9054,76.44,50,0,9.22,clear sky
299,Port Blair,IN,11.6667,92.75,81.18,82,100,21.65,moderate rain
300,Sobolevo,RU,54.4299,31.8996,65.62,88,7,6.69,clear sky
301,Bac Lieu,VN,9.285,105.7244,77.41,89,100,8.21,overcast clouds
302,Zhanaozen,KZ,43.3,52.8,86.61,22,57,15.35,broken clouds
303,Lumajang,ID,-8.1335,113.2248,71.02,87,85,1.77,overcast clouds
304,Tshela,CD,-4.9833,12.9333,67.98,78,36,4.7,scattered clouds
305,Nanortalik,GL,60.1432,-45.2371,47.46,86,100,9.4,overcast clouds
306,Wakkanai,JP,45.4094,141.6739,65.75,89,100,3.83,overcast clouds
307,Menongue,AO,-14.6585,17.691,62.1,30,2,5.12,clear sky
308,Coihaique,CL,-45.5752,-72.0662,40.95,60,0,8.05,clear sky
309,San Pedro,PH,14.35,121.0167,76.23,95,100,1.14,light rain
310,Chuy,UY,-33.6971,-53.4616,52.77,77,7,6.13,clear sky
311,Yibin,CN,28.7667,104.6238,76.91,96,100,3.31,overcast clouds
312,Cabanas,CU,22.9758,-82.9219,84.74,72,41,12.01,light rain
313,Poum,NC,-20.2333,164.0167,74.53,83,7,8.77,clear sky
314,Baruun-Urt,MN,46.6806,113.2792,64.83,62,100,3.94,overcast clouds
315,San Cristobal,VE,7.7669,-72.225,80.78,55,57,5.95,broken clouds
316,Male,MV,4.1748,73.5089,80.55,89,75,16.11,broken clouds
317,Srednekolymsk,RU,67.45,153.6833,53.01,57,100,4.03,overcast clouds
318,Costa Rica,BR,-23.4167,-54.65,68.4,52,89,4.12,overcast clouds
319,High Rock,BS,26.6208,-78.2833,85.28,67,18,13.98,few clouds
320,Constitucion,CL,-35.3333,-72.4167,55.38,80,100,4.23,overcast clouds
321,Hami,CN,42.8,93.45,85.89,23,98,16.42,overcast clouds
322,Albox,ES,37.3886,-2.1495,83.32,42,0,4.05,clear sky
323,Vryheid,ZA,-27.7695,30.7917,52.92,81,0,3.74,clear sky
324,Neuquen,AR,-38.9516,-68.0591,48.09,61,0,3.44,light rain
325,Shemordan,RU,56.1856,50.3972,67.48,62,63,5.44,broken clouds
326,Champagnole,FR,46.7445,5.9135,73.56,65,100,6.04,overcast clouds
327,Waiuku,NZ,-37.25,174.75,44.26,84,6,2.77,clear sky
328,Dabhoi,IN,22.1833,73.4333,79.52,91,100,5.66,moderate rain
329,Codo,BR,-4.4553,-43.8856,84.74,55,100,2.39,overcast clouds
330,Wrexham,GB,53.0,-3.0,59.99,64,0,6.91,clear sky
331,Tazmalt,DZ,36.3868,4.3989,82.38,50,0,5.41,clear sky
332,Feltre,IT,46.0235,11.907,84.97,77,1,4.7,clear sky
333,Berdigestyakh,RU,62.0989,126.6992,59.0,97,100,8.16,light rain
334,Fortuna,US,40.5982,-124.1573,79.93,65,20,9.22,few clouds
335,Boyolangu,ID,-8.1181,111.8935,70.38,94,58,0.34,broken clouds
336,Saint-Pierre,RE,-21.3393,55.4781,67.68,60,0,9.22,clear sky
337,Newport,GB,51.5877,-2.9984,65.44,60,83,11.48,broken clouds
338,Dunedin,NZ,-45.8742,170.5036,52.81,74,100,5.08,light rain
339,Aksha,RU,50.2814,113.2867,53.94,89,100,4.14,overcast clouds
340,Muros,ES,42.7762,-9.0603,72.09,60,78,16.26,broken clouds
341,Ranau,MY,5.9538,116.6641,70.0,98,100,2.21,overcast clouds
342,Owando,CG,-0.4819,15.8999,78.26,67,93,5.3,overcast clouds
343,Maragogi,BR,-9.0122,-35.2225,75.04,81,12,7.05,few clouds
344,Boca Do Acre,BR,-8.7522,-67.3978,84.38,59,100,2.57,overcast clouds
345,Lang Son,VN,21.8333,106.7333,75.06,92,100,1.77,overcast clouds
346,Loikaw,MM,19.6742,97.2094,68.27,97,100,1.48,overcast clouds
347,Cidreira,BR,-30.1811,-50.2056,55.45,69,99,13.56,overcast clouds
