City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
279,Haines Junction,CA,66.15,overcast clouds,60.7522,-137.5108,Parkside Inn
281,Auki,SB,76.78,broken clouds,-8.7676,160.7034,Auki Motel
283,Norsup,VU,78.22,few clouds,-16.0667,167.3833,Nabelchel Bungalows
285,Richards Bay,ZA,63.9,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
286,Ternate,ID,78.76,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
288,Norman Wells,CA,75.24,few clouds,65.282,-126.8329,Heritage Hotel
289,Vila Franca Do Campo,PT,73.81,light rain,37.7167,-25.4333,Pestana Bahia Praia
290,La Rioja,ES,64.18,few clouds,42.25,-2.5,Casa Concejos
298,Saint-Francois,FR,76.44,clear sky,46.4154,3.9054,Manoir Du Bonheur
301,Bac Lieu,VN,77.41,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
303,Lumajang,ID,71.02,overcast clouds,-8.1335,113.2248,SPOT ON 2440 Wallet Family Residence
304,Tshela,CD,67.98,scattered clouds,-4.9833,12.9333,Hotel Mirador
306,Wakkanai,JP,65.75,overcast clouds,45.4094,141.6739,Hyōsetsu-sō
307,Menongue,AO,62.1,clear sky,-14.6585,17.691,Ritz Lauca
309,San Pedro,PH,76.23,light rain,14.35,121.0167,Palines Apartment and Guesthouse
311,Yibin,CN,76.91,overcast clouds,28.7667,104.6238,Handsome Guesthouse
314,Baruun-Urt,MN,64.83,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
325,Shemordan,RU,67.48,broken clouds,56.1856,50.3972,"Gostinitsa ""Chulpan"""
326,Champagnole,FR,73.56,overcast clouds,46.7445,5.9135,le Bois Gourmand
328,Dabhoi,IN,79.52,moderate rain,22.1833,73.4333,Sindhiyapura
334,Fortuna,US,79.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
335,Boyolangu,ID,70.38,broken clouds,-8.1181,111.8935,Yos ega cv
336,Saint-Pierre,RE,67.68,clear sky,-21.3393,55.4781,Alize Plage
337,Newport,GB,65.44,broken clouds,51.5877,-2.9984,ibis budget Newport
340,Muros,ES,72.09,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
341,Ranau,MY,70.0,overcast clouds,5.9538,116.6641,The Second Room
342,Owando,CG,78.26,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
343,Maragogi,BR,75.04,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
